來源網址,卡號,稀有度,卡片名稱,類型,等級,力量,Trigger,顏色,Cost,Soul,特徵,效果說明
https://yuyu-tei.jp/sell/ws/card/thp/10001,THP/S130-P01,PR,博麗霊夢(箔押し入り)   （ハクレイレイム）,キャラ,3,10000,1,赤色,2,2,"幻想郷, 博麗神社","【自】 このカードが手札から舞台に置かれた時、あなたは自分のクロックの上から1枚を、控え室に置いてよい。
【自】【CXコンボ】［(1) 手札を1枚控え室に置く］ このカードがアタックした時、CX置場に「霊符「夢想封印」」があり、他のあなたの《幻想郷》のキャラがいるなら、あなたはコストを払ってよい。そうしたら、そのターン中、このカードのソウルを＋1し、このカードは次の能力を得る。『【自】【ターン2】 このカードの与えたダメージがキャンセルされた時、あなたは相手に2ダメージを与えてよい。』（ダメージキャンセルは発生する）"
https://yuyu-tei.jp/sell/ws/card/thp/10002,THP/S130-P02,PR,人世を忍ぶ仮の化け姿 マミゾウ   （ジンセイヲシノブカリノバケスガタ マミゾウ）,キャラ,0,2000,0,赤色,0,1,"幻想郷, 人間の里","【自】 このカードがアタックした時、あなたは自分のキャラを1枚選び、そのターン中、パワーを＋1000。
（自身や味方のバトルをサポートして、相手のキャラを倒そう！）"
https://yuyu-tei.jp/sell/ws/card/thp/10003,THP/S130-P03,PR,願望成就の吸血鬼 フランドール   （ガンボウジョウジュノキュウケツキ フランドール）,キャラ,0,3000,0,赤色,0,1,"幻想郷, 紅魔館",（高いパワーを生かして相手のキャラにフロントアタックしよう！）
https://yuyu-tei.jp/sell/ws/card/thp/10004,THP/S130-P04,PR,事業繁盛の新聞記者 文   （ジギョウハンジョウノシンブンキシャ アヤ）,キャラ,2,2000,1,赤色,1,1,"幻想郷, 妖怪の山","【永】 他のあなたのキャラすべてに、パワーを＋1000。
（後列に置いてバトルをサポートしよう！）"
https://yuyu-tei.jp/sell/ws/card/thp/10005,THP/S130-P05,PR,一攫千金の魔法使い 魔理沙   （イッカクセンキンノマホウツカイ マリサ）,キャラ,3,11000,1,赤色,2,2,"幻想郷, 魔法の森","【自】【CXコンボ】 このカードがアタックした時、CX置場に「魔法の下準備」があるなら、あなたは相手に6ダメージを与えてよい。（ダメージキャンセルは発生する）
（このデッキの切り札！「魔法の下準備」と一緒にプレイできるよう準備しておこう！）"
https://yuyu-tei.jp/sell/ws/card/thp/10006,THP/S130-P06,PR,魔法の下準備   （マホウノシタジュンビ）,クライマックス,,,2,赤色,,,,"【永】 あなたのキャラすべてに、ソウルを＋2。
（トリガーチェックやダメージステップでこのカードがめくれるとラッキー！）"
https://yuyu-tei.jp/sell/ws/card/thp/10007,THP/S130-P07,PR,一家健康の吸血鬼 レミリア   （イッカケンコウノキュウケツキ レミリア）,キャラ,0,1000,0,青色,0,1,"幻想郷, 紅魔館","【永】 応援 このカードの前のあなたのキャラすべてに、パワーを＋500。
（後列に置いてバトルをサポートしよう！）
（このキャラを後列左の枠に置いたときの「前」は、前列左と前列中央の枠のキャラだ。後列右の枠に置いたときは逆になるぞ！）"
https://yuyu-tei.jp/sell/ws/card/thp/10008,THP/S130-P08,PR,幻想境界に棲む妖怪 紫   （ゲンソウキョウカイニスムヨウカイ ユカリ）,キャラ,0,1000,0,青色,0,1,"幻想郷, 境界","【自】【CXコンボ】［手札の《幻想郷》のキャラを1枚控え室に置く］ このカードが手札から舞台に置かれた時、あなたはコストを払ってよい。そうしたら、あなたは自分の山札を見て「開運招福の巫女 霊夢」か「博麗の巫女向け特訓メニュー」を1枚まで選んで相手に見せ、手札に加え、その山札をシャッフルする。
（手札に無い方を選んで、「開運招福の巫女 霊夢」の能力を発動できるようにしよう！）"
https://yuyu-tei.jp/sell/ws/card/thp/10009,THP/S130-P09,PR,巫女の留守を預かる仙人 華扇   （ミコノルスヲアズカルセンニン カセン）,キャラ,0,1000,0,青色,0,1,"幻想郷, 博麗神社","【起】【CXコンボ】 集中 ［(1) このカードを【レスト】する］ あなたは自分の山札の上から5枚をめくり、控え室に置く。それらのカードの「魔法の下準備」か「博麗の巫女向け特訓メニュー」1枚につき、あなたは1枚まで引く。
（手札を補充できるぞ。この能力は毎ターン積極的に使っていくのがオススメ！）"
https://yuyu-tei.jp/sell/ws/card/thp/10010,THP/S130-P10,PR,披露会の来賓 妖夢   （ヒロウカイノライヒン ヨウム）,キャラ,1,4000,0,青色,0,1,"幻想郷, 白玉楼","【自】 このカードが手札から舞台に置かれた時、あなたは自分のキャラを1枚選び、そのターン中、パワーを＋1500。
（自身や味方のバトルをサポートして、相手のキャラを倒そう！）"
https://yuyu-tei.jp/sell/ws/card/thp/10011,THP/S130-P11,PR,開運招福の巫女 霊夢   （カイウンショウフクノミコ レイム）,キャラ,1,5000,0,青色,0,1,"幻想郷, 博麗神社","【自】【CXコンボ】［あなたのCX置場の「博麗の巫女向け特訓メニュー」を1枚控え室に置く］ あなたのアンコールステップの始めに、このカードの正面のキャラが【リバース】しているなら、あなたはコストを払ってよい。そうしたら、あなたは自分の控え室の、「一攫千金の魔法使い 魔理沙」か「皮相浅薄な人間 早苗」を2枚まで選び、手札に戻す。
（「博麗の巫女向け特訓メニュー」と一緒にプレイして手札を増やそう！自分のレベルを見て、次のターンにプレイできそうなキャラを選ぶのがオススメ！）"
https://yuyu-tei.jp/sell/ws/card/thp/10012,THP/S130-P12,PR,皮相浅薄な人間 早苗   （ヒソウセンパクナニンゲン サナエ）,キャラ,2,9000,1,青色,1,1,"幻想郷, 守矢神社","【自】［(1) 手札を1枚控え室に置く］ このカードがアタックした時、あなたはコストを払ってよい。そうしたら、そのターン中、このカードのパワーを＋2000し、このカードは次の能力を得る。『【自】 このカードのバトル相手が【リバース】した時、あなたは相手に1ダメージを与えてよい。』（ダメージキャンセルは発生する）
（相手のキャラを倒して、どんどんダメージを与えよう！）"
https://yuyu-tei.jp/sell/ws/card/thp/10013,THP/S130-P13,PR,彷徨わない亡霊 幽々子   （サマヨワナイボウレイ ユユコ）,キャラ,3,10000,1,青色,2,2,"幻想郷, 白玉楼","【自】 このカードが手札から舞台に置かれた時、あなたは自分のクロックの上から1枚を、控え室に置いてよい。
（クロックを回復できるぞ。0枚だと影響が無いので注意！）"
https://yuyu-tei.jp/sell/ws/card/thp/10014,THP/S130-P14,PR,七色の人形遣い アリス   （ナナイロノニンギョウツカイ アリス）,キャラ,3,11000,1,青色,2,2,"幻想郷, 魔法の森","【自】【CXコンボ】 このカードが手札から舞台に置かれた時、あなたは自分の控え室の、「魔法の下準備」か「博麗の巫女向け特訓メニュー」を1枚選び、手札に戻してよい。
（「一攫千金の魔法使い 魔理沙」や「開運招福の巫女 霊夢」の能力を発動するためのCXを手札に戻すことができるぞ！）"
https://yuyu-tei.jp/sell/ws/card/thp/10015,THP/S130-P15,PR,白か黒か   （シロカクロカ）,イベント,2,,0,青色,1,,,"あなたは自分の控え室の、「一攫千金の魔法使い 魔理沙」か「七色の人形遣い アリス」か「皮相浅薄な人間 早苗」を2枚まで選び、手札に戻し、自分の手札を1枚選び、控え室に置く。
（自分のレベルを見て、このターンや次のターンにプレイできそうなキャラを手札に戻そう！）"
https://yuyu-tei.jp/sell/ws/card/thp/10016,THP/S130-P16,PR,博麗の巫女向け特訓メニュー   （ハクレイノミコムケトックンメニュー）,クライマックス,,,D,青色,,,,"【永】 あなたのキャラすべてに、パワーを＋1000し、ソウルを＋1。
（：このカードがトリガーした時、あなたは1枚引いてよい）
（トリガーチェックやダメージステップでこのカードがめくれるとラッキー！）"
https://yuyu-tei.jp/sell/ws/card/thp/10017,THP/S130-P17,PR,第二十三回博麗神社例大祭   （ダイニジュウサンカイハクレイジンジャレイタイサイ）,キャラ,0,3000,0,赤色,0,1,"幻想郷, 博麗神社",-
https://yuyu-tei.jp/sell/ws/card/thp/10018,THP/S130-P18,PR,宇佐見蓮子   （ウサミレンコ）,キャラ,1,2000,0,青色,0,1,秘封倶楽部,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【起】［手札を1枚控え室に置き、このカードを控え室に置く］ あなたは自分の控え室のキャラを1枚選び、手札に戻す。
【起】［このカードを【レスト】する］ あなたは自分のキャラを1枚選び、次の相手のターンの終わりまで、パワーを＋1000。"
https://yuyu-tei.jp/sell/ws/card/thp/10019,THP/S130-P18S,PR,宇佐見蓮子(ホロ)   （ウサミレンコ）,キャラ,1,2000,0,青色,0,1,秘封倶楽部,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【起】［手札を1枚控え室に置き、このカードを控え室に置く］ あなたは自分の控え室のキャラを1枚選び、手札に戻す。
【起】［このカードを【レスト】する］ あなたは自分のキャラを1枚選び、次の相手のターンの終わりまで、パワーを＋1000。"
https://yuyu-tei.jp/sell/ws/card/thp/10020,THP/S130-P19,PR,マエリベリー・ハーン   （マエリベリー・ハーン）,キャラ,0,2000,0,黄色,0,1,秘封倶楽部,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、すべてのプレイヤーは次の行動を行う。『あなたの思い出が5枚以上なら、あなたは自分の思い出置場のカードを4枚選び、それらのカード以外の自分の思い出置場のカードすべてを、控え室に置く。』
【自】［手札を1枚クロック置場に置く］ このカードが手札から舞台に置かれた時、あなたはコストを払ってよい。そうしたら、あなたは自分の山札を上からＸ枚まで見て、カードを1枚まで選び、手札に加え、残りのカードを控え室に置く。Ｘは他のあなたの《幻想郷》のキャラの枚数に等しい。"
https://yuyu-tei.jp/sell/ws/card/thp/10021,THP/S130-P19S,PR,マエリベリー・ハーン(ホロ)   （マエリベリー・ハーン）,キャラ,0,2000,0,黄色,0,1,秘封倶楽部,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、すべてのプレイヤーは次の行動を行う。『あなたの思い出が5枚以上なら、あなたは自分の思い出置場のカードを4枚選び、それらのカード以外の自分の思い出置場のカードすべてを、控え室に置く。』
【自】［手札を1枚クロック置場に置く］ このカードが手札から舞台に置かれた時、あなたはコストを払ってよい。そうしたら、あなたは自分の山札を上からＸ枚まで見て、カードを1枚まで選び、手札に加え、残りのカードを控え室に置く。Ｘは他のあなたの《幻想郷》のキャラの枚数に等しい。"
https://yuyu-tei.jp/sell/ws/card/thp/10022,THP/S130-P20,PR,夢と伝統を保守する巫女 靈夢   （ユメトデントウヲホシュスルミコ レイム）,キャラ,2,6500,1,赤色,1,1,博麗神社,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、あなたは自分のキャラを1枚選び、そのターン中、次の能力を与える。『【永】 このカードのバトル中、相手は『助太刀』を手札からプレイできない。』
【起】［このカードを控え室に置く］ あなたは相手のキャラを1枚選び、手札に戻す。"
https://yuyu-tei.jp/sell/ws/card/thp/10023,THP/S130-P20S,PR,夢と伝統を保守する巫女 靈夢(ホロ)   （ユメトデントウヲホシュスルミコ レイム）,キャラ,2,6500,1,赤色,1,1,博麗神社,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、あなたは自分のキャラを1枚選び、そのターン中、次の能力を与える。『【永】 このカードのバトル中、相手は『助太刀』を手札からプレイできない。』
【起】［このカードを控え室に置く］ あなたは相手のキャラを1枚選び、手札に戻す。"
https://yuyu-tei.jp/sell/ws/card/thp/10024,THP/S130-P21,PR,魔法と紅夢からなる存在 魔理沙   （マホウトコウムカラナルソンザイ マリサ）,キャラ,1,4000,1,赤色,1,1,魔法使い,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【永】 あなたのレベルが3以上なら、このカードは次の能力を得る。『【起】［このカードを控え室に置く］ あなたは相手のキャラを1枚選び、【スタンド】して相手の舞台のキャラのいない他の枠に動かすか、他の相手のキャラを1枚選び、それぞれを【スタンド】して入れ替える。』
【自】 このカードが【リバース】した時、このカードのバトル相手のレベルが相手のレベルより高いなら、あなたはそのキャラを思い出にしてよい。"
https://yuyu-tei.jp/sell/ws/card/thp/10025,THP/S130-P21S,PR,魔法と紅夢からなる存在 魔理沙(ホロ)   （マホウトコウムカラナルソンザイ マリサ）,キャラ,1,4000,1,赤色,1,1,魔法使い,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【永】 あなたのレベルが3以上なら、このカードは次の能力を得る。『【起】［このカードを控え室に置く］ あなたは相手のキャラを1枚選び、【スタンド】して相手の舞台のキャラのいない他の枠に動かすか、他の相手のキャラを1枚選び、それぞれを【スタンド】して入れ替える。』
【自】 このカードが【リバース】した時、このカードのバトル相手のレベルが相手のレベルより高いなら、あなたはそのキャラを思い出にしてよい。"
https://yuyu-tei.jp/sell/ws/card/thp/10026,THP/S130-P22,PR,久遠の夢に運命を任せる精神 魅魔   （クオンノユメニウンメイヲマカセルセイシン ミマ）,キャラ,0,1500,0,緑色,0,1,悪霊,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、そのターン中、このカードのパワーを＋Ｘ。Ｘは相手のキャラの枚数×1000に等しい。
【自】 このカードが手札から舞台に置かれた時、あなたは相手のキャラを1枚選び、そのターン中、次の能力を与える。『【永】 このカードは手札に戻せず、思い出にできない。』"
https://yuyu-tei.jp/sell/ws/card/thp/10027,THP/S130-P22S,PR,久遠の夢に運命を任せる精神 魅魔(ホロ)   （クオンノユメニウンメイヲマカセルセイシン ミマ）,キャラ,0,1500,0,緑色,0,1,悪霊,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、そのターン中、このカードのパワーを＋Ｘ。Ｘは相手のキャラの枚数×1000に等しい。
【自】 このカードが手札から舞台に置かれた時、あなたは相手のキャラを1枚選び、そのターン中、次の能力を与える。『【永】 このカードは手札に戻せず、思い出にできない。』"
https://yuyu-tei.jp/sell/ws/card/thp/10028,THP/S130-P23,PR,魔界の神 神綺   （マカイノカミ シンキ）,キャラ,1,1000,0,赤色,0,1,魔界,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、あなたは自分の山札の上から1枚を公開する。そのカードが《幻想郷》のキャラかイベントなら、あなたは相手の前列のキャラを1枚選び、そのターン中、パワーを-4500。（公開したカードは元に戻す）"
https://yuyu-tei.jp/sell/ws/card/thp/10029,THP/S130-P23S,PR,魔界の神 神綺(ホロ)   （マカイノカミ シンキ）,キャラ,1,1000,0,赤色,0,1,魔界,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、あなたは自分の山札の上から1枚を公開する。そのカードが《幻想郷》のキャラかイベントなら、あなたは相手の前列のキャラを1枚選び、そのターン中、パワーを-4500。（公開したカードは元に戻す）"
https://yuyu-tei.jp/sell/ws/card/thp/10030,THP/S130-P24,PR,ゆっくり霊夢   （ユックリレイム）,キャラ,0,5000,0,赤色,0,1,ゆっくり,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、あなたは『ゆっくりしていってね！！！』と宣言してよい。
【自】 このカードが手札から舞台に置かれた時、あなたはすべてのプレイヤーのキャラすべてを、【レスト】する。"
https://yuyu-tei.jp/sell/ws/card/thp/10031,THP/S130-P24S,PR,ゆっくり霊夢(ホロ)   （ユックリレイム）,キャラ,0,5000,0,赤色,0,1,ゆっくり,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、あなたは『ゆっくりしていってね！！！』と宣言してよい。
【自】 このカードが手札から舞台に置かれた時、あなたはすべてのプレイヤーのキャラすべてを、【レスト】する。"
https://yuyu-tei.jp/sell/ws/card/thp/10032,THP/S130-P25,PR,ゆっくり魔理沙   （ユックリマリサ）,キャラ,3,10500,1,黄色,2,2,ゆっくり,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、あなたは『ゆっくりしていってね！！！』と宣言してよい。
【自】 このカードが手札から舞台に置かれた時、すべてのプレイヤーは自分のクロックの上から1枚を、控え室に置き、そのターン中、このカードのパワーを＋4000。"
https://yuyu-tei.jp/sell/ws/card/thp/10033,THP/S130-P25S,PR,ゆっくり魔理沙(ホロ)   （ユックリマリサ）,キャラ,3,10500,1,黄色,2,2,ゆっくり,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、あなたは『ゆっくりしていってね！！！』と宣言してよい。
【自】 このカードが手札から舞台に置かれた時、すべてのプレイヤーは自分のクロックの上から1枚を、控え室に置き、そのターン中、このカードのパワーを＋4000。"
https://yuyu-tei.jp/sell/ws/card/thp/10034,THP/S130-P26,PR,ゆっくり？四季映姫   （ユックリ？シキエイキ）,キャラ,0,3000,0,緑色,0,1,ゆっくり,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、あなたは『ゆっくりしていってね！！！』と宣言してよい。
【自】 このカードが手札から舞台に置かれた時、あなたは自分の山札の上から1枚を公開する。そのカードのレベルが1以上なら、そのターン中、このカードのパワーを＋3000。そうでないなら、そのターン中、このカードのパワーを-3000。（CXのレベルは0として扱う。公開したカードは元に戻す）"
https://yuyu-tei.jp/sell/ws/card/thp/10035,THP/S130-P26S,PR,ゆっくり？四季映姫(ホロ)   （ユックリ？シキエイキ）,キャラ,0,3000,0,緑色,0,1,ゆっくり,"【永】 すべての領域にあるこのカードは《幻想郷》を得る。
【自】 このカードが手札から舞台に置かれた時、あなたは『ゆっくりしていってね！！！』と宣言してよい。
【自】 このカードが手札から舞台に置かれた時、あなたは自分の山札の上から1枚を公開する。そのカードのレベルが1以上なら、そのターン中、このカードのパワーを＋3000。そうでないなら、そのターン中、このカードのパワーを-3000。（CXのレベルは0として扱う。公開したカードは元に戻す）"
https://yuyu-tei.jp/sell/ws/card/thp/10036,THP/S130-T01,TD,鈴仙・優曇華院・イナバ   （レイセン・ウドンゲイン・イナバ）,キャラ,0,500,0,黄色,0,1,"幻想郷, 永遠亭","【自】 このカードが手札から舞台に置かれた時、相手の前列のキャラが1枚以下なら、あなたは相手の前列のコスト0以下のキャラを1枚選び、控え室に置いてよい。
【起】 集中 ［(1) このカードを【レスト】する］ あなたは自分の山札の上から5枚をめくり、控え室に置く。それらのカードのCX1枚につき、あなたは1枚まで引く。"
